
Symbol table '.symtab' contains 8099 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
     0: 00000000     0 NOTYPE  LOCAL  DEFAULT  UND 
     1: 00200000     0 SECTION LOCAL  DEFAULT    1 .text
     2: 0036a6a0     0 SECTION LOCAL  DEFAULT    2 .vutext
     3: 0036d8c0     0 SECTION LOCAL  DEFAULT    3 .reginfo
     4: 0036d900     0 SECTION LOCAL  DEFAULT    4 .data
     5: 00423f00     0 SECTION LOCAL  DEFAULT    5 .vudata
     6: 00423f00     0 SECTION LOCAL  DEFAULT    6 .rodata
     7: 00459000     0 SECTION LOCAL  DEFAULT    7 .lit4
     8: 0045b180     0 SECTION LOCAL  DEFAULT    8 .sdata
     9: 0045e300     0 SECTION LOCAL  DEFAULT    9 .sbss
    10: 0045e880     0 SECTION LOCAL  DEFAULT   10 .bss
    11: 01fc4640     0 SECTION LOCAL  DEFAULT   11 .vubss
    12: 07000000     0 SECTION LOCAL  DEFAULT   12 .mdebug
    13: 01fc4640     0 SECTION LOCAL  DEFAULT   13 .DVP.ovlytab
    14: 01fc4640     0 SECTION LOCAL  DEFAULT   14 .DVP.ovlystrtab
    15: 01fc4640     0 SECTION LOCAL  DEFAULT   15 .stab
    16: 00000000     0 SECTION LOCAL  DEFAULT   16 .DVP.overlay..0x0.57137523.13.0
    17: 00000000     0 SECTION LOCAL  DEFAULT   17 .DVP.overlay..unknvma.130012699.363.1
    18: 00000000     0 SECTION LOCAL  DEFAULT   18 .DVP.overlay..0x2e40.57137523.16.2
    19: 00000000     0 SECTION LOCAL  DEFAULT   19 .DVP.overlay..0xdc0.57137523.22.3
    20: 00000000     0 SECTION LOCAL  DEFAULT   20 .DVP.overlay..unknvma.2080204667.360.4
    21: 00000000     0 SECTION LOCAL  DEFAULT   21 .DVP.overlay..0x1900.57137523.25.5
    22: 00000000     0 SECTION LOCAL  DEFAULT   22 .DVP.overlay..0x1f40.57137523.28.6
    23: 00000000     0 SECTION LOCAL  DEFAULT   23 .DVP.overlay..0x2580.57137523.31.7
    24: 00000000     0 SECTION LOCAL  DEFAULT   24 .DVP.overlay..0x3700.57137523.34.8
    25: 00000000     0 SECTION LOCAL  DEFAULT   25 .DVP.overlay..0x2bc0.57137523.37.9
    26: 00000000     0 SECTION LOCAL  DEFAULT   26 .DVP.overlay..0x3fd0.57137523.40.10
    27: 00000000     0 SECTION LOCAL  DEFAULT   27 .DVP.overlay..0x3da0.57137523.43.11
    28: 00000000     0 SECTION LOCAL  DEFAULT   28 .DVP.overlay..0x3e00.57137523.46.12
    29: 00000000     0 SECTION LOCAL  DEFAULT   29 .DVP.overlay..0x3ee8.57137523.49.13
    30: 00000000     0 SECTION LOCAL  DEFAULT   30 .DVP.overlay..0x3d20.57137523.52.14
    31: 00000000     0 SECTION LOCAL  DEFAULT   31 .DVP.overlay..0x3d60.57137523.55.15
    32: 00000000     0 SECTION LOCAL  DEFAULT   32 .DVP.overlay..0x3cb8.57137523.58.16
    33: 01fc4640     0 SECTION LOCAL  DEFAULT   33 .stabstr
    34: 00000000     0 SECTION LOCAL  DEFAULT   34 .shstrtab
    35: 00000000     0 SECTION LOCAL  DEFAULT   35 .symtab
    36: 00000000     0 SECTION LOCAL  DEFAULT   36 .strtab
    37: 00000000     0 FILE    LOCAL  DEFAULT  ABS Make/crt0.s
    38: 00200008     0 NOTYPE  LOCAL  DEFAULT    1 zerobss
    39: 0045e880     0 NOTYPE  LOCAL  DEFAULT   10 _args
    40: 002000c0     8 FUNC    LOCAL  DEFAULT    1 _root
    41: 002000c8     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
    42: 002000c8     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
    43: 0036d900    40 OBJECT  LOCAL  DEFAULT    4 dbinfo
    44: 0045b180     8 OBJECT  LOCAL  DEFAULT    8 dmalists
    45: 0045e300     0 NOTYPE  LOCAL  DEFAULT    9 parmfound
    46: 002001d0   176 FUNC    LOCAL  DEFAULT    1 bossMakeAll
    47: 00200408   760 FUNC    LOCAL  DEFAULT    1 bossMake
    48: 0045ea00     0 NOTYPE  LOCAL  DEFAULT   10 membuffer
    49: 00200280   272 FUNC    LOCAL  DEFAULT    1 sjeGsSetDefDBuff
    50: 00200390    44 FUNC    LOCAL  DEFAULT    1 sjeGsSetHalfOffset
    51: 00201e18   476 FUNC    LOCAL  DEFAULT    1 clearvram
    52: 00201420   328 FUNC    LOCAL  DEFAULT    1 vblIntHandler
    53: 00201568    72 FUNC    LOCAL  DEFAULT    1 gsIntHandler
    54: 0045b1f8     4 OBJECT  LOCAL  DEFAULT    8 firsttime.258
    55: 00200e88   616 FUNC    LOCAL  DEFAULT    1 cpuMain
    56: 0045b1fc     4 OBJECT  LOCAL  DEFAULT    8 alarm_activated
    57: 002010f0    40 FUNC    LOCAL  DEFAULT    1 lockupalarm
    58: 0045b200     4 OBJECT  LOCAL  DEFAULT    8 LastFrameSent.265
    59: 00201118   772 FUNC    LOCAL  DEFAULT    1 gsMain
    60: 0036d940    12 OBJECT  LOCAL  DEFAULT    4 defaultargs
    61: 01efb200     0 NOTYPE  LOCAL  DEFAULT   10 cpustack
    62: 01f1b200     0 NOTYPE  LOCAL  DEFAULT   10 gsstack
    63: 00201ff4     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
    64: 00201ff4     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
    65: 00201ff4     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
    66: 00201ff4     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
    67: 00201ff4     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
    68: 00201ff4     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
    69: 00201ff4     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
    70: 00201ff4     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
    71: 00201ff4     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
    72: 00201ff4     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
    73: 00201ff8     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
    74: 00201ff8     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
    75: 002021c8     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
    76: 002021c8     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
    77: 002021c8    92 FUNC    LOCAL  DEFAULT    1 memMark
    78: 00202228   168 FUNC    LOCAL  DEFAULT    1 memCheck
    79: 002027e8     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
    80: 002027e8     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
    81: 0045ba70     4 OBJECT  LOCAL  DEFAULT    8 printfree
    82: 0045ba74     4 OBJECT  LOCAL  DEFAULT    8 buflen
    83: 0045ba78     4 OBJECT  LOCAL  DEFAULT    8 maxused
    84: 0045ba7c     4 OBJECT  LOCAL  DEFAULT    8 memdbbuffer
    85: 0045e30c     0 NOTYPE  LOCAL  DEFAULT    9 curbufat
    86: 0045e308     0 NOTYPE  LOCAL  DEFAULT    9 lastbuf
    87: 01f2b200     0 NOTYPE  LOCAL  DEFAULT   10 dbuf
    88: 0045e304     0 NOTYPE  LOCAL  DEFAULT    9 curbuf
    89: 0045ba80     4 OBJECT  LOCAL  DEFAULT    8 dballoc
    90: 00202970     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
    91: 00202970     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
    92: 00202e80     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
    93: 00202e80     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
    94: 0045ba9c     1 OBJECT  LOCAL  DEFAULT    8 mousebut
    95: 0045ba9d     1 OBJECT  LOCAL  DEFAULT    8 mouselastbut
    96: 0045ba9e     1 OBJECT  LOCAL  DEFAULT    8 mousenewbut
    97: 0045ba9f     1 OBJECT  LOCAL  DEFAULT    8 mousereleasebut
    98: 01f30200     0 NOTYPE  LOCAL  DEFAULT   10 cdUsbMouse
    99: 01f30340     0 NOTYPE  LOCAL  DEFAULT   10 sdata
   100: 01f30240     0 NOTYPE  LOCAL  DEFAULT   10 info
   101: 01f302c0     0 NOTYPE  LOCAL  DEFAULT   10 location
   102: 0045e310     0 NOTYPE  LOCAL  DEFAULT    9 mousex
   103: 0045e314     0 NOTYPE  LOCAL  DEFAULT    9 mousey
   104: 01f303c0     0 NOTYPE  LOCAL  DEFAULT   10 mousedata
   105: 002031e0     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
   106: 002031e0     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
   107: 00395158    96 OBJECT  LOCAL  DEFAULT    4 fontSelection
   108: 003951b8   336 OBJECT  LOCAL  DEFAULT    4 fontStyles
   109: 00395408    36 OBJECT  LOCAL  DEFAULT    4 capsinfo
   110: 01f30440     0 NOTYPE  LOCAL  DEFAULT   10 ti.153
   111: 0045baac     1 OBJECT  LOCAL  DEFAULT    8 done.160
   112: 00203728   240 FUNC    LOCAL  DEFAULT    1 GetXOffset
   113: 00203c40  1672 FUNC    LOCAL  DEFAULT    1 textParse
   114: 0045e318     0 NOTYPE  LOCAL  DEFAULT    9 outlining
   115: 002042c8    96 FUNC    LOCAL  DEFAULT    1 textPrintCallback
   116: 002043a8  1472 FUNC    LOCAL  DEFAULT    1 textNormalFadeCallback
   117: 00204d20  2112 FUNC    LOCAL  DEFAULT    1 textRender3DCallback
   118: 002056b8     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
   119: 002056b8     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
   120: 002056b8     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
   121: 002056b8     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
   122: 002056b8     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
   123: 002056b8     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
   124: 002056b8     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
   125: 002056b8     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
   126: 002056b8     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
   127: 002056b8     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
   128: 00399780    40 OBJECT  LOCAL  DEFAULT    4 cycbuf
   129: 0045bad0     4 OBJECT  LOCAL  DEFAULT    8 cycbufpos
   130: 0045bad4     4 OBJECT  LOCAL  DEFAULT    8 mtappollcount
